km_since_last_service,days_since_service,vehicle_age_years,past_emergency_repairs,cumulative_cost_inr,avg_daily_km,critical_sensor_pressure_ratio,failure_next_30_days
16370.7,48,9.4,0,260497.11,186.1,1.174,0
22703.9,53,7.5,0,211526.24,337.6,1.174,0
3880.1,116,2.3,3,132645.23,254.5,1.062,0
5416.6,78,4.9,1,164249.25,255.7,1.106,1
7378.7,102,3.6,1,129003.53,223.3,0.873,0
3405.6,128,9.9,1,279202.11,217.5,0.995,1
11120.8,65,4.7,0,141246.2,297.0,0.839,0
5717.6,139,1.6,3,113264.16,298.6,0.998,0
24331.7,76,4.7,0,145797.62,438.3,0.949,0
6324.9,54,3.9,0,113317.14,241.3,0.999,0
8698.2,25,6.4,1,191106.21,234.6,0.942,0
16911.8,63,3.0,2,135936.36,326.4,0.981,0
4477.6,180,1.3,2,77172.18,310.5,1.053,0
3235.1,124,1.9,0,71274.15,242.6,0.903,0
11918.7,102,3.5,0,113542.13,281.2,1.006,0
12455.9,34,4.1,1,139707.67,353.6,1.047,0
16631.9,53,8.5,1,249434.08,188.6,0.95,0
14452.1,114,3.4,3,154469.79,215.5,0.867,0
12726.5,132,1.3,2,84363.21,285.7,1.011,0
6812.8,126,8.0,1,239763.83,219.4,1.103,0
12256.8,90,8.8,0,243465.89,222.4,1.054,0
12697.8,43,5.4,0,153987.94,333.7,0.923,0
6647.9,132,3.6,0,106860.26,284.8,0.943,0
28084.6,52,7.9,1,237735.21,256.7,0.936,0
14070.7,133,1.1,1,68791.62,213.4,0.834,0
5482.7,63,9.3,1,271347.13,282.0,1.229,0
16678.1,200,8.8,1,259852.28,330.3,1.026,1
18278.0,59,5.9,2,202551.64,182.5,1.106,0
13596.5,58,3.5,0,98151.97,186.7,0.987,0
9142.7,72,1.3,1,74704.34,300.8,0.839,0
6461.9,44,10.0,0,258359.53,226.5,1.081,0
10170.9,38,7.9,0,211524.13,211.5,1.184,0
13053.8,43,4.0,1,140061.07,219.2,0.881,0
10751.8,165,1.2,1,64015.04,305.4,0.812,0
23256.7,40,6.8,2,225163.56,303.6,1.029,1
15297.7,58,9.9,0,273846.91,283.8,1.25,1
5990.2,258,7.4,0,196120.67,234.3,1.011,1
5089.3,136,1.8,3,118901.91,211.1,0.907,1
14138.7,134,4.6,2,163219.18,223.8,1.16,1
9272.6,235,2.0,1,86177.83,206.7,0.977,0
16043.2,71,9.2,1,264632.18,236.4,0.938,0
14066.1,17,4.0,0,111860.32,262.2,1.068,0
10198.0,127,7.6,2,252525.77,304.3,1.117,0
6036.4,66,1.8,0,65481.48,262.3,0.81,0
3516.0,260,2.2,0,80722.89,249.9,1.059,1
12127.1,15,7.1,1,211837.74,362.1,0.87,1
4423.3,38,8.6,2,276143.32,80.0,0.881,0
5872.3,51,2.8,0,92683.88,298.5,1.091,0
11702.6,72,4.8,0,132527.74,291.3,0.976,0
11051.4,28,6.6,0,179039.42,292.1,0.9,0
4807.2,96,8.2,0,218691.99,315.8,1.111,0
19420.4,49,6.7,1,205663.62,188.8,1.07,0
19136.9,141,1.9,0,67635.49,317.3,1.005,0
14396.9,172,5.9,2,210627.38,283.0,0.935,1
14387.0,61,9.0,2,275284.96,236.2,0.936,0
14397.0,106,8.8,1,260687.85,297.8,0.815,0
18190.4,76,6.3,1,195708.9,270.7,1.206,0
15512.4,72,10.0,1,283155.24,203.5,1.025,0
6373.1,26,1.9,0,72418.58,138.6,0.874,0
9193.3,70,5.3,0,151050.52,181.3,1.248,0
34054.5,132,8.0,2,256115.68,217.1,0.972,1
2528.0,97,2.3,0,77375.5,283.7,1.084,0
7871.4,39,9.8,0,260772.6,173.6,0.932,0
19477.9,26,4.2,3,180637.57,284.6,0.986,1
6643.3,68,4.2,0,126646.76,278.7,0.988,0
15750.1,45,2.9,2,134472.21,383.4,1.058,0
10967.1,48,3.6,1,126124.53,281.7,1.136,0
6951.4,45,6.2,2,209931.68,135.8,0.954,0
2153.3,77,4.9,2,171699.75,328.7,0.985,0
11931.5,111,2.7,0,85867.33,205.3,1.175,0
6282.2,43,8.3,1,241185.25,202.1,1.058,0
9934.6,42,1.6,0,60234.05,248.3,0.994,0
14316.9,30,8.5,0,236485.03,293.1,1.126,0
17380.0,85,3.5,0,111974.72,243.5,0.968,0
7855.4,130,5.5,1,180387.4,260.6,0.944,0
6943.0,70,4.4,0,133770.6,205.2,1.035,0
4368.5,111,6.1,0,173198.38,189.9,1.012,0
17855.6,153,8.2,0,216520.94,272.1,0.949,0
31400.3,89,9.9,0,269870.49,168.5,1.039,1
18931.9,40,3.8,2,145213.9,217.2,0.811,0
21266.7,37,6.0,3,222346.58,240.2,0.937,1
6679.8,42,5.2,0,149213.22,274.1,0.835,0
13836.2,215,10.0,2,301206.6,244.4,0.86,1
16568.8,252,8.3,1,240996.31,241.0,0.802,0
413.3,59,4.6,1,152608.22,186.2,0.983,0
5277.0,148,5.3,0,151357.37,235.2,0.932,0
25277.2,165,3.2,0,99188.19,245.0,1.044,1
3786.7,26,7.8,1,229242.93,285.0,1.052,0
23122.3,207,8.6,0,240022.91,212.0,1.153,1
3768.0,64,9.7,2,290291.15,206.4,0.911,0
5454.2,62,6.1,0,182459.6,187.3,1.025,0
13978.8,31,7.0,1,213852.27,269.1,0.967,0
11129.1,215,5.0,1,159996.21,239.0,1.045,1
8342.6,80,6.5,1,192261.52,252.0,1.03,0
24742.4,203,4.1,1,135564.78,231.6,0.961,1
4452.1,159,7.6,0,211906.5,233.9,0.992,0
9705.6,60,1.2,0,47870.88,223.5,0.83,0
14989.5,81,1.3,0,44643.98,290.0,1.062,0
12609.4,48,7.4,3,253646.27,262.5,0.769,1
7094.3,52,9.4,0,251079.53,348.1,1.056,0
7261.5,101,6.7,0,184939.06,241.8,0.832,0
17234.3,122,7.5,0,212159.21,354.6,1.086,0
17687.9,17,8.4,1,245578.91,242.9,1.053,0
12802.5,17,4.3,3,192952.94,290.6,0.926,0
6116.3,53,2.0,1,88342.14,223.3,0.767,0
7410.0,92,9.4,2,294284.85,289.1,1.05,0
10530.7,167,9.4,0,261984.23,121.5,0.828,1
11451.5,79,5.0,0,137385.3,185.2,1.103,0
14654.2,64,3.0,1,108815.02,201.2,0.837,0
9399.7,110,9.0,1,262430.53,383.2,0.823,1
17017.7,39,7.4,1,228110.55,323.2,0.961,0
16911.7,80,1.1,0,46616.67,275.6,0.821,0
21668.2,69,2.0,2,105706.04,235.1,0.971,0
10804.5,84,9.8,1,288608.18,225.1,0.787,0
12927.3,154,1.3,1,75875.7,223.6,1.027,0
9839.0,20,3.5,0,116320.07,300.5,0.899,0
6165.0,72,5.9,0,161031.73,265.4,1.243,0
31002.6,122,2.7,0,83532.21,313.9,1.015,0
20160.6,105,3.1,0,95230.58,293.6,1.03,1
16718.4,21,4.2,1,138313.53,284.8,1.006,0
10586.9,17,3.4,0,107679.42,212.9,0.784,0
5813.7,116,8.2,0,229119.79,212.8,1.025,0
18388.1,20,5.5,2,184582.08,267.8,0.733,1
9734.6,81,3.5,1,128894.27,282.8,1.257,1
13597.7,148,3.8,2,148003.03,248.4,0.771,0
7391.9,25,1.4,1,72088.52,185.3,0.831,0
12348.1,203,1.4,0,51549.52,273.4,1.072,0
7686.2,114,7.5,1,228478.11,305.4,1.093,0
7876.2,337,2.0,3,119849.14,193.8,1.161,1
12255.3,54,5.3,1,169820.61,242.4,1.16,0
3728.3,171,8.6,0,237443.61,203.2,0.881,0
3861.5,58,4.3,2,165452.38,317.4,0.757,0
6628.4,78,4.1,4,190616.29,379.8,1.031,1
9332.3,47,8.9,0,240994.15,338.8,0.864,0
17306.9,75,8.8,2,275200.7,165.1,0.936,0
9655.7,136,8.9,0,246314.26,280.8,0.988,0
10546.2,208,6.1,0,172624.1,293.0,1.163,0
8890.1,40,9.6,0,257940.58,364.1,1.067,0
12916.6,86,8.4,1,245853.47,225.3,0.941,0
6124.3,51,4.7,3,185432.18,252.5,0.886,0
9971.9,89,6.7,2,227150.64,189.2,0.854,0
13511.7,148,2.1,0,78248.76,179.1,1.276,1
12198.4,55,6.0,2,212790.19,264.1,0.955,0
10749.1,102,3.4,2,142377.38,348.1,1.059,0
10827.6,38,3.6,0,102747.66,261.7,1.135,0
14261.5,156,2.1,0,63541.31,263.0,1.013,0
31818.4,124,4.2,0,127130.16,184.1,1.109,1
6398.5,44,5.3,0,149810.2,268.7,0.953,0
32316.7,43,6.4,0,178247.68,226.8,1.137,0
6210.1,177,3.7,1,130595.31,232.7,1.144,0
1938.8,244,8.1,2,260668.62,362.5,0.887,1
7587.8,45,5.7,1,177663.53,233.7,0.98,1
13058.4,136,6.7,1,210212.59,239.6,1.061,0
28214.3,60,3.5,2,139916.74,273.1,1.044,0
5808.7,178,8.3,3,280829.72,80.0,1.001,1
14213.3,62,6.6,1,206907.14,213.3,1.094,1
4158.2,118,8.8,0,237357.54,152.6,1.184,0
27659.3,84,2.4,2,123880.91,227.0,0.788,1
20374.4,12,4.4,0,126969.93,374.4,0.901,0
7886.2,41,2.0,1,93610.67,93.4,0.813,0
22179.2,117,2.9,0,87286.11,160.1,1.155,0
9935.9,108,4.6,0,131425.88,341.2,1.019,0
20967.0,92,9.1,1,268181.29,250.4,0.971,0
10701.0,212,6.0,1,196981.35,286.4,0.967,1
10976.5,130,4.0,2,157913.68,265.8,0.843,1
7988.7,120,7.7,0,216867.59,267.6,1.051,0
15274.3,12,1.2,1,70136.36,239.3,1.178,0
11471.9,134,4.3,1,145343.75,80.0,1.089,1
14392.2,22,6.4,1,186409.64,258.7,0.919,0
3456.3,76,6.2,1,190207.58,325.9,0.876,0
21378.3,22,6.5,2,214649.12,320.1,1.066,1
24345.4,104,2.9,2,123828.45,294.9,0.883,1
11440.2,152,4.0,1,131276.06,253.7,0.943,0
30583.6,71,9.4,2,298832.25,269.1,0.884,1
26731.5,73,9.8,0,260941.72,311.4,1.03,1
15462.0,38,3.8,0,108415.28,168.4,0.83,0
22336.6,150,6.8,2,240467.72,368.3,1.287,1
19181.5,24,3.2,0,104327.29,320.4,0.897,0
2809.3,84,4.3,1,141227.92,370.9,0.837,0
9001.9,71,8.1,1,237074.71,278.7,1.264,1
16073.6,97,5.5,1,169176.44,228.5,0.907,0
25233.2,126,8.6,2,264803.74,287.8,1.015,1
3953.0,68,6.7,1,200573.54,305.3,1.18,0
2960.5,135,6.7,0,189049.7,375.6,0.901,0
10307.9,74,1.3,1,77500.02,242.4,0.839,0
2059.6,95,7.7,1,237602.13,235.2,0.913,0
10095.1,33,9.8,0,271267.93,323.6,0.886,0
13244.9,57,5.3,0,150807.24,246.0,1.318,0
5629.9,20,2.4,2,119720.92,223.9,1.069,0
10262.5,79,9.8,1,284711.58,227.8,1.005,0
18201.1,122,3.6,1,128472.98,138.8,1.042,0
7564.4,66,4.7,0,143009.98,217.4,0.874,0
6280.6,71,1.7,1,83895.2,285.3,1.009,0
9982.7,98,2.0,1,88951.83,259.7,0.971,0
5232.8,105,2.9,1,107858.34,288.2,1.066,0
29335.1,19,5.9,0,174967.44,339.6,0.935,0
10898.7,49,6.0,1,182141.2,403.3,0.921,0
6717.8,22,6.5,1,192267.93,243.7,0.817,0
12126.3,58,6.3,1,183006.63,191.7,1.291,1
9949.6,189,5.5,1,174032.32,233.7,1.042,0
9287.4,123,8.2,1,245368.94,306.3,0.901,0
7563.1,75,9.4,1,266883.0,408.0,0.942,0
7330.2,221,3.4,2,141585.22,269.7,0.895,0
3515.0,92,2.2,1,97797.35,288.7,1.244,0
22317.9,294,4.8,1,161740.64,246.3,1.007,1
14893.3,83,1.2,0,48167.48,269.2,0.917,0
12831.6,49,8.9,0,247795.66,334.5,1.138,1
9852.7,31,3.2,1,122105.72,308.5,0.634,0
5563.4,115,5.9,0,174033.24,256.6,0.992,0
6449.7,57,2.0,1,92264.6,275.1,0.883,0
3812.6,83,6.0,0,161914.43,237.9,0.93,0
6976.2,103,1.4,3,115592.65,331.4,1.047,1
5046.9,40,7.9,0,219236.31,371.4,0.864,0
25918.0,91,9.6,1,275656.14,207.8,1.052,0
17524.1,67,3.8,0,118961.46,212.5,0.878,1
11180.1,23,3.3,0,101874.14,238.5,0.831,0
5971.9,107,5.0,1,149699.28,311.4,0.909,0
5224.7,116,6.6,1,208093.86,234.4,1.087,0
9471.1,167,2.7,1,102737.02,316.3,1.073,0
17932.2,32,8.2,0,224879.81,165.9,0.953,0
3891.1,247,2.8,2,125697.4,255.6,1.005,1
14782.7,44,1.0,0,44709.85,268.0,1.204,0
6956.1,14,5.7,1,181890.02,204.0,1.124,1
7790.7,78,2.0,3,129257.63,251.6,0.922,1
10986.8,97,7.3,0,204665.38,326.6,0.773,0
6107.5,68,2.5,1,95521.62,251.5,1.084,0
9180.8,31,8.4,0,222100.9,285.1,0.947,0
5768.9,54,5.2,0,148889.69,345.2,0.77,0
7325.4,94,6.1,0,168453.78,205.4,1.018,0
16400.8,269,2.7,0,82964.77,275.6,1.056,1
11328.7,33,2.3,0,73834.13,89.2,0.881,0
16366.0,49,6.7,3,247646.46,176.5,1.188,0
6897.5,26,3.3,2,141019.89,304.9,0.992,0
14844.8,57,4.5,1,148224.95,228.0,1.04,0
3176.3,72,5.3,0,153442.25,277.3,0.857,0
10983.8,141,3.1,0,98742.99,169.3,1.005,0
15405.3,95,8.2,0,220454.1,97.5,0.941,0
3078.4,183,9.5,0,256756.66,217.8,1.256,0
6950.3,74,4.9,1,148852.39,225.5,0.934,0
10979.3,4,9.3,1,269690.13,238.8,0.975,0
18682.4,98,8.9,1,264766.59,348.0,0.844,1
7324.7,18,2.5,0,85181.94,137.0,1.173,0
14515.1,138,2.6,2,120436.41,216.2,0.933,0
23125.6,74,5.3,0,146058.21,238.0,0.825,0
14897.5,47,5.7,2,201023.51,251.5,1.074,0
9394.6,29,4.1,1,144684.27,319.5,1.08,0
13279.3,52,3.8,2,156164.77,256.4,0.916,0
7187.9,72,4.9,1,159830.21,307.8,0.845,0
11242.3,226,7.2,0,201742.58,331.2,0.981,0
9681.8,68,1.8,0,62784.59,176.6,0.931,0
13027.3,88,7.4,1,225943.34,327.6,0.946,0
8196.1,70,9.3,0,251140.97,248.3,1.05,1
13456.2,88,7.9,1,232181.31,262.8,1.071,0
8146.3,84,2.7,2,123684.42,268.8,0.999,0
17428.6,75,1.8,0,64167.44,285.0,0.849,0
8675.7,46,5.4,1,166037.15,171.4,0.739,0
2124.2,118,9.6,1,277542.0,166.1,0.987,1
5343.9,33,8.4,1,241276.06,229.3,0.743,1
10787.4,104,6.1,0,171330.13,296.5,0.903,0
25791.8,119,2.3,0,89044.37,337.0,1.023,1
17053.3,15,7.4,0,209128.5,219.1,1.02,0
1761.7,30,8.3,4,294632.02,311.4,0.969,0
3630.3,17,9.4,0,255711.14,247.2,0.999,0
20017.6,163,6.5,1,203369.53,279.8,1.045,0
15356.9,51,5.6,1,172769.18,224.0,0.825,1
33435.7,158,6.6,2,222222.14,268.3,0.866,1
7938.7,59,9.5,4,328959.28,204.7,1.052,1
6022.8,35,6.7,0,185847.16,265.6,1.029,0
11141.0,44,3.3,0,99624.28,312.0,0.948,0
7840.9,83,6.7,0,188082.99,235.8,1.103,0
18980.5,118,8.9,0,249412.73,275.0,1.157,1
7670.0,77,6.1,0,170508.01,282.1,0.904,0
8999.2,135,5.5,1,180914.22,326.6,1.103,1
5465.6,67,7.6,0,210016.12,148.1,0.947,0
16414.7,72,6.9,1,213070.34,302.2,0.775,0
5705.8,42,1.5,0,64857.85,194.7,1.01,0
13601.5,39,7.5,0,207744.37,189.2,1.112,1
28222.1,123,4.7,0,137021.64,221.3,0.916,0
2756.0,33,9.5,2,295900.66,203.8,1.136,0
23726.8,59,9.7,0,258664.65,272.3,0.966,0
12601.9,127,5.0,0,150800.59,202.0,1.076,0
4874.6,20,9.7,2,297402.95,294.6,1.08,0
11397.3,166,3.8,1,130842.67,131.7,0.999,0
16144.4,35,7.1,1,210092.95,323.8,1.246,1
6291.6,166,1.7,0,56716.2,166.8,1.162,0
14052.2,33,2.3,1,97458.16,284.3,0.78,0
24824.5,123,8.8,2,280968.17,211.7,0.742,1
7663.8,50,9.0,0,242128.71,234.6,1.047,0
5420.4,231,5.8,0,167776.79,207.5,0.726,0
9865.9,64,4.1,0,120377.04,132.5,0.986,0
11034.8,29,5.1,1,157595.41,232.2,1.119,0
19529.1,104,8.8,1,256375.19,186.5,1.056,0
9667.5,54,2.9,0,95777.27,174.5,0.924,0
8114.2,111,3.7,2,142230.31,234.6,1.136,1
5327.4,164,8.1,1,233210.98,243.1,0.965,0
3097.4,125,9.4,1,270167.03,265.0,1.001,0
4264.6,19,1.8,1,80401.3,289.7,0.956,0
4246.5,32,8.2,0,234499.35,187.6,1.065,0
9059.3,89,6.8,4,262979.31,176.5,0.86,0
3552.6,96,3.1,0,102850.08,305.4,0.976,0
10315.9,7,7.8,1,232668.32,240.5,1.059,0
27875.6,27,7.6,1,228249.97,377.9,1.233,1
19847.3,35,2.3,1,99407.6,136.8,1.068,0
9004.9,172,5.5,1,169297.32,280.0,0.738,0
37851.4,46,7.8,2,246578.3,211.2,1.059,1
11058.2,118,2.7,1,108772.26,213.4,0.929,0
12013.6,150,5.2,0,149561.82,227.2,1.085,0
9751.2,45,2.1,0,74819.89,340.4,0.826,0
10454.2,70,3.8,1,127851.04,159.4,0.881,0
7496.2,118,3.0,1,111368.68,158.5,0.963,0
9086.3,19,5.5,1,183595.19,297.0,0.97,1
23815.3,61,2.3,2,109836.81,362.3,1.087,1
21051.9,160,4.4,1,153546.46,216.1,1.079,0
2046.6,94,3.5,1,126829.93,325.1,0.871,0
3861.3,95,7.7,0,208899.57,312.4,1.159,0
6350.0,135,7.3,2,244283.76,276.9,1.022,1
18020.1,49,1.9,3,126582.22,271.0,0.871,0
21314.7,34,9.6,1,270843.05,237.4,0.727,0
16109.1,91,7.7,0,216419.53,314.3,1.151,0
4860.8,52,6.5,0,181594.71,299.9,0.928,0
7594.3,50,5.3,1,169821.86,225.6,0.914,0
14193.2,33,2.6,2,110742.0,164.8,1.084,0
9172.6,104,9.7,1,277609.04,213.0,0.846,0
8400.9,65,1.1,0,42412.01,196.1,0.938,0
8478.3,33,7.2,0,200241.99,256.7,0.918,0
20172.8,141,5.6,1,172113.64,288.8,0.985,1
15028.7,58,9.1,0,243459.26,283.4,1.057,0
8769.8,105,4.4,1,143968.17,287.6,1.093,0
12941.9,198,5.7,1,185407.27,271.6,1.064,0
4403.8,139,7.7,2,247146.55,258.7,1.155,0
7603.6,185,1.4,0,57944.84,256.2,0.908,0
19090.7,137,1.5,0,58786.39,334.1,1.039,1
3387.4,61,2.9,1,107059.39,230.7,0.939,0
15135.0,40,2.3,3,133751.75,246.9,0.983,0
2028.1,59,1.1,1,64762.07,130.3,0.981,0
26028.1,62,6.6,0,181257.52,227.4,0.827,0
7488.5,164,8.2,0,223305.64,241.9,1.023,0
13492.0,53,9.6,0,269101.67,331.8,1.008,0
11430.3,27,5.0,0,137860.43,179.8,0.999,0
11678.9,87,3.5,2,141470.72,252.3,0.96,0
12806.2,78,8.8,0,241679.17,251.1,0.738,0
2941.7,42,8.6,1,245632.24,298.3,1.014,0
11822.1,57,6.6,0,184157.5,232.0,1.067,0
9509.5,188,3.5,2,147797.88,296.5,1.202,1
7515.2,103,9.2,1,264965.27,275.4,1.044,0
6347.7,60,2.6,2,126142.54,214.3,1.32,0
11997.7,42,1.4,0,49903.73,193.3,1.002,0
5467.3,249,8.2,1,249037.16,385.5,1.027,1
18900.2,212,6.1,2,218708.92,227.5,0.974,1
14061.0,132,3.2,0,91400.97,158.4,0.939,0
12428.0,64,7.0,0,203186.6,232.7,1.069,1
18459.2,40,7.9,0,216568.92,219.7,1.152,0
2594.6,41,8.6,3,287058.48,189.9,1.063,0
4301.5,64,3.5,1,121463.67,257.5,1.028,0
14417.9,53,1.2,0,45137.15,271.3,0.957,0
6593.7,74,5.6,1,181343.73,139.0,0.995,0
7150.1,72,8.7,0,235509.71,267.5,0.997,0
3864.1,36,2.9,0,81908.67,304.1,1.03,0
5477.7,37,4.8,1,162056.94,202.1,1.013,0
19135.4,60,3.3,0,103653.91,179.6,0.891,0
14224.4,70,1.1,0,45357.66,198.0,1.171,0
11920.1,179,9.1,0,252899.84,228.8,1.24,0
7331.1,91,2.2,2,114476.72,256.2,0.996,0
11483.6,88,7.9,1,238011.65,190.1,1.012,0
20072.5,93,4.1,0,113603.95,233.3,1.072,0
6701.3,153,3.5,2,144505.92,245.0,0.91,0
10439.8,514,9.5,0,260197.4,266.6,1.062,1
26918.2,50,6.9,4,261521.4,170.1,0.944,1
15989.7,238,7.2,4,268895.2,209.0,0.959,1
7398.3,24,7.8,0,205373.18,212.8,0.851,0
15265.7,61,4.1,2,146870.78,350.5,0.95,0
3346.2,33,6.1,0,175950.27,317.7,1.027,0
10187.8,115,3.4,0,104002.01,249.6,1.209,0
15256.2,137,8.5,2,264471.1,163.6,0.97,0
13347.8,27,6.4,0,177252.9,305.8,0.938,0
15172.7,147,3.2,1,122842.52,323.8,1.053,0
17093.7,94,9.1,0,255900.8,248.3,1.141,0
13955.9,127,6.2,2,216003.78,224.1,1.166,0
13726.2,161,5.5,1,173930.53,211.1,0.828,0
12081.6,118,1.3,1,79492.51,294.1,1.012,0
5048.9,23,9.2,1,263573.31,290.4,1.219,0
19130.6,56,9.6,1,271111.53,189.1,0.851,1
10410.4,26,6.1,2,211217.65,202.1,1.026,0
15766.2,13,5.0,0,148339.83,188.9,1.034,0
18044.3,31,4.2,0,127294.51,359.0,0.836,0
7638.5,60,3.4,1,125095.23,269.0,1.065,0
8072.8,227,6.2,0,168109.7,318.8,1.073,1
8771.9,73,2.2,1,92275.32,259.7,0.934,0
21151.4,95,9.3,3,298958.48,276.7,0.857,0
5825.3,51,2.6,0,85598.56,234.2,1.166,0
23184.8,65,7.7,0,218951.71,339.5,0.867,0
12002.8,78,3.8,1,133957.26,271.0,1.175,0
12507.8,62,3.0,0,92330.06,248.4,1.045,0
17596.8,108,6.0,0,170781.47,140.7,0.98,0
11213.2,47,7.9,0,215940.72,283.7,1.166,0
19249.8,24,7.5,0,206580.87,283.1,0.969,0
7632.0,20,3.1,2,131933.07,328.2,0.998,0
22774.8,130,4.0,0,113337.12,233.8,1.086,0
8013.3,7,8.8,1,259849.7,209.4,0.92,0
23255.1,64,7.5,1,225000.12,361.9,1.029,1
8150.7,32,7.4,1,229670.7,168.6,0.86,1
8929.9,111,3.4,0,107788.67,204.4,1.075,1
5360.2,75,8.1,0,231281.84,345.6,0.917,0
6396.4,76,4.2,3,186977.49,310.6,1.036,1
10441.7,81,4.6,1,146494.84,238.4,1.415,0
12270.9,79,3.6,0,106642.62,240.5,0.905,0
18474.6,24,2.1,0,65715.4,244.4,1.195,0
9329.1,53,4.8,0,134712.6,306.4,0.987,0
4885.4,39,1.2,1,63279.97,307.3,1.098,0
13364.6,44,5.1,0,156300.58,292.7,1.121,0
11791.3,80,7.5,0,215716.6,303.0,1.092,0
14217.5,131,9.6,0,262572.92,290.9,1.03,1
7019.7,128,1.7,0,60067.07,112.7,0.777,0
7560.6,89,3.5,0,100276.92,279.5,1.111,0
7021.5,56,5.4,5,242822.57,237.0,1.007,0
20470.8,76,2.5,2,119483.9,388.3,0.916,0
22895.8,118,2.1,1,85163.65,171.0,0.933,1
7356.0,44,5.1,0,151969.18,186.2,0.839,0
7450.9,74,6.2,0,184663.88,266.3,1.017,0
15358.1,51,8.4,0,225504.24,186.7,0.945,0
24304.2,44,10.0,1,286757.5,412.1,0.96,1
