origin_id,origin_name,origin_lat,origin_lng,dest_id,dest_name,dest_lat,dest_lng,distance_km,truck_duration_hours,is_estimated
HUB_AMD,Ahmedabad (Sanand GIDC),22.9868,72.3804,HUB_BOM,Mumbai (JNPT Port),18.9496,72.9525,556.6,8.83,False
HUB_AMD,Ahmedabad (Sanand GIDC),22.9868,72.3804,HUB_PNQ,Pune (Chakan Auto Corridor),18.7606,73.8636,644.9,10.11,False
HUB_AMD,Ahmedabad (Sanand GIDC),22.9868,72.3804,HUB_DEL,Delhi NCR (Gurugram Depot),28.5355,77.2732,979.0,14.4,False
HUB_AMD,Ahmedabad (Sanand GIDC),22.9868,72.3804,HUB_BLR,Bengaluru (Peenya Logistics Park),13.0285,77.5195,1438.1,22.42,False
HUB_AMD,Ahmedabad (Sanand GIDC),22.9868,72.3804,HUB_MAA,Chennai (Sriperumbudur Auto Cluster),12.9699,79.9405,1678.8,26.2,False
HUB_AMD,Ahmedabad (Sanand GIDC),22.9868,72.3804,HUB_HYD,Hyderabad (Shamshabad Cargo Terminal),17.2403,78.4294,1155.2,18.04,False
HUB_AMD,Ahmedabad (Sanand GIDC),22.9868,72.3804,HUB_CCU,Kolkata (Dankuni Freight Hub),22.6868,88.2936,1965.3,30.55,False
HUB_CCU,Kolkata (Dankuni Freight Hub),22.6868,88.2936,HUB_BOM,Mumbai (JNPT Port),18.9496,72.9525,1913.9,28.96,False
HUB_CCU,Kolkata (Dankuni Freight Hub),22.6868,88.2936,HUB_PNQ,Pune (Chakan Auto Corridor),18.7606,73.8636,1782.2,27.52,False
HUB_CCU,Kolkata (Dankuni Freight Hub),22.6868,88.2936,HUB_DEL,Delhi NCR (Gurugram Depot),28.5355,77.2732,1460.6,21.75,False
HUB_CCU,Kolkata (Dankuni Freight Hub),22.6868,88.2936,HUB_BLR,Bengaluru (Peenya Logistics Park),13.0285,77.5195,1836.6,29.52,False
HUB_CCU,Kolkata (Dankuni Freight Hub),22.6868,88.2936,HUB_MAA,Chennai (Sriperumbudur Auto Cluster),12.9699,79.9405,1702.5,26.57,False
HUB_CCU,Kolkata (Dankuni Freight Hub),22.6868,88.2936,HUB_HYD,Hyderabad (Shamshabad Cargo Terminal),17.2403,78.4294,1443.5,22.63,False
HUB_CCU,Kolkata (Dankuni Freight Hub),22.6868,88.2936,HUB_AMD,Ahmedabad (Sanand GIDC),22.9868,72.3804,1970.6,30.72,False
